xValues,tValues,Solution
0.265306,0.00489796,0.740278
0.285714,0.00489796,0.781831
0.306122,0.00489796,0.820172
0.326531,0.00489796,0.855143
0.346939,0.00489796,0.886599
0.367347,0.00489796,0.914413
0.387755,0.00489796,0.938468
0.408163,0.00489796,0.958668
0.428571,0.00489796,0.974928
0.44898,0.00489796,0.987182
0.469388,0.00489796,0.995379
0.489796,0.00489796,0.999486
0.510204,0.00489796,0.999486
0.530612,0.00489796,0.995379
0.55102,0.00489796,0.987182
0.571429,0.00489796,0.974928
0.591837,0.00489796,0.958668
0.612245,0.00489796,0.938468
0.632653,0.00489796,0.914413
0.653061,0.00489796,0.886599
0.673469,0.00489796,0.855143
0.693878,0.00489796,0.820172
0.714286,0.00489796,0.781831
0.734694,0.00489796,0.740278
0.755102,0.00489796,0.695683
0.77551,0.00489796,0.648228
0.795918,0.00489796,0.598111
0.816327,0.00489796,0.545535
0.836735,0.00489796,0.490718
0.857143,0.00489796,0.433884
0.877551,0.00489796,0.375267
0.897959,0.00489796,0.315108
0.918367,0.00489796,0.253655
0.938776,0.00489796,0.191159
0.959184,0.00489796,0.127877
0.979592,0.00489796,0.0640702
1,0.00489796,0
0,0.00612245,0
0.0204082,0.00612245,0.0640702
0.0408163,0.00612245,0.127877
0.0612245,0.00612245,0.191159
0.0816327,0.00612245,0.253655
0.102041,0.00612245,0.315108
0.122449,0.00612245,0.375267
0.142857,0.00612245,0.433884
0.163265,0.00612245,0.490718
0.183673,0.00612245,0.545535
0.204082,0.00612245,0.598111
0.22449,0.00612245,0.648228
0.244898,0.00612245,0.695683
0.265306,0.00612245,0.740278
0.285714,0.00612245,0.781831
0.306122,0.00612245,0.820172
0.326531,0.00612245,0.855143
0.346939,0.00612245,0.886599
0.367347,0.00612245,0.914413
0.387755,0.00612245,0.938468
0.408163,0.00612245,0.958668
0.428571,0.00612245,0.974928
0.44898,0.00612245,0.987182
0.469388,0.00612245,0.995379
0.489796,0.00612245,0.999486
0.510204,0.00612245,0.999486
0.530612,0.00612245,0.995379
0.55102,0.00612245,0.987182
0.571429,0.00612245,0.974928
0.591837,0.00612245,0.958668
0.612245,0.00612245,0.938468
0.632653,0.00612245,0.914413
0.653061,0.00612245,0.886599
0.673469,0.00612245,0.855143
0.693878,0.00612245,0.820172
0.714286,0.00612245,0.781831
0.734694,0.00612245,0.740278
0.755102,0.00612245,0.695683
0.77551,0.00612245,0.648228
0.795918,0.00612245,0.598111
0.816327,0.00612245,0.545535
0.836735,0.00612245,0.490718
0.857143,0.00612245,0.433884
0.877551,0.00612245,0.375267
0.897959,0.00612245,0.315108
0.918367,0.00612245,0.253655
0.938776,0.00612245,0.191159
0.959184,0.00612245,0.127877
0.979592,0.00612245,0.0640702
1,0.00612245,0
0,0.00734694,0
0.0204082,0.00734694,0.0640702
0.0408163,0.00734694,0.127877
0.0612245,0.00734694,0.191159
0.0816327,0.00734694,0.253655
0.102041,0.00734694,0.315108
0.122449,0.00734694,0.375267
0.142857,0.00734694,0.433884
0.163265,0.00734694,0.490718
0.183673,0.00734694,0.545535
0.204082,0.00734694,0.598111
0.22449,0.00734694,0.648228
0.244898,0.00734694,0.695683
0.265306,0.00734694,0.740278
0.285714,0.00734694,0.781831
0.306122,0.00734694,0.820172
0.326531,0.00734694,0.855143
0.346939,0.00734694,0.886599
0.367347,0.00734694,0.914413
0.387755,0.00734694,0.938468
0.408163,0.00734694,0.958668
0.428571,0.00734694,0.974928
0.44898,0.00734694,0.987182
0.469388,0.00734694,0.995379
0.489796,0.00734694,0.999486
0.510204,0.00734694,0.999486
0.530612,0.00734694,0.995379
0.55102,0.00734694,0.987182
0.571429,0.00734694,0.974928
0.591837,0.00734694,0.958668
0.612245,0.00734694,0.938468
0.632653,0.00734694,0.914413
0.653061,0.00734694,0.886599
0.673469,0.00734694,0.855143
0.693878,0.00734694,0.820172
0.714286,0.00734694,0.781831
0.734694,0.00734694,0.740278
0.755102,0.00734694,0.695683
0.77551,0.00734694,0.648228
0.795918,0.00734694,0.598111
0.816327,0.00734694,0.545535
0.836735,0.00734694,0.490718
0.857143,0.00734694,0.433884
0.877551,0.00734694,0.375267
0.897959,0.00734694,0.315108
0.918367,0.00734694,0.253655
0.938776,0.00734694,0.191159
0.959184,0.00734694,0.127877
0.979592,0.00734694,0.0640702
1,0.00734694,0
0,0.00857143,0
0.0204082,0.00857143,0.0640702
0.0408163,0.00857143,0.127877
0.0612245,0.00857143,0.191159
0.0816327,0.00857143,0.253655
0.102041,0.00857143,0.315108
0.122449,0.00857143,0.375267
0.142857,0.00857143,0.433884
0.163265,0.00857143,0.490718
0.183673,0.00857143,0.545535
0.204082,0.00857143,0.598111
0.22449,0.00857143,0.648228
0.244898,0.00857143,0.695683
0.265306,0.00857143,0.740278
0.285714,0.00857143,0.781831
0.306122,0.00857143,0.820172
0.326531,0.00857143,0.855143
0.346939,0.00857143,0.886599
0.367347,0.00857143,0.914413
0.387755,0.00857143,0.938468
0.408163,0.00857143,0.958668
0.428571,0.00857143,0.974928
0.44898,0.00857143,0.987182
0.469388,0.00857143,0.995379
0.489796,0.00857143,0.999486
0.510204,0.00857143,0.999486
0.530612,0.00857143,0.995379
0.55102,0.00857143,0.987182
0.571429,0.00857143,0.974928
0.591837,0.00857143,0.958668
0.612245,0.00857143,0.938468
0.632653,0.00857143,0.914413
0.653061,0.00857143,0.886599
0.673469,0.00857143,0.855143
0.693878,0.00857143,0.820172
0.714286,0.00857143,0.781831
0.734694,0.00857143,0.740278
0.755102,0.00857143,0.695683
0.77551,0.00857143,0.648228
0.795918,0.00857143,0.598111
0.816327,0.00857143,0.545535
0.836735,0.00857143,0.490718
0.857143,0.00857143,0.433884
0.877551,0.00857143,0.375267
0.897959,0.00857143,0.315108
0.918367,0.00857143,0.253655
0.938776,0.00857143,0.191159
0.959184,0.00857143,0.127877
0.979592,0.00857143,0.0640702
1,0.00857143,0
0,0.00979592,0
0.0204082,0.00979592,0.0640702
0.0408163,0.00979592,0.127877
0.0612245,0.00979592,0.191159
0.0816327,0.00979592,0.253655
0.102041,0.00979592,0.315108
0.122449,0.00979592,0.375267
0.142857,0.00979592,0.433884
0.163265,0.00979592,0.490718
0.183673,0.00979592,0.545535
0.204082,0.00979592,0.598111
0.22449,0.00979592,0.648228
0.244898,0.00979592,0.695683
0.265306,0.00979592,0.740278
0.285714,0.00979592,0.781831
0.306122,0.00979592,0.820172
0.326531,0.00979592,0.855143
0.346939,0.00979592,0.886599
0.367347,0.00979592,0.914413
0.387755,0.00979592,0.938468
0.408163,0.00979592,0.958668
0.428571,0.00979592,0.974928
0.44898,0.00979592,0.987182
0.469388,0.00979592,0.995379
0.489796,0.00979592,0.999486
0.510204,0.00979592,0.999486
0.530612,0.00979592,0.995379
0.55102,0.00979592,0.987182
0.571429,0.00979592,0.974928
0.591837,0.00979592,0.958668
0.612245,0.00979592,0.938468
0.632653,0.00979592,0.914413
0.653061,0.00979592,0.886599
0.673469,0.00979592,0.855143
0.693878,0.00979592,0.820172
0.714286,0.00979592,0.781831
0.734694,0.00979592,0.740278
0.755102,0.00979592,0.695683
0.77551,0.00979592,0.648228
0.795918,0.00979592,0.598111
0.816327,0.00979592,0.545535
0.836735,0.00979592,0.490718
0.857143,0.00979592,0.433884
0.877551,0.00979592,0.375267
0.897959,0.00979592,0.315108
0.918367,0.00979592,0.253655
0.938776,0.00979592,0.191159
0.959184,0.00979592,0.127877
0.979592,0.00979592,0.0640702
1,0.00979592,0
0,0.0110204,0
0.0204082,0.0110204,0.0640702
0.0408163,0.0110204,0.127877
0.0612245,0.0110204,0.191159
0.0816327,0.0110204,0.253655
0.102041,0.0110204,0.315108
0.122449,0.0110204,0.375267
0.142857,0.0110204,0.433884
0.163265,0.0110204,0.490718
0.183673,0.0110204,0.545535
0.204082,0.0110204,0.598111
0.22449,0.0110204,0.648228
0.244898,0.0110204,0.695683
0.265306,0.0110204,0.740278
0.285714,0.0110204,0.781831
0.306122,0.0110204,0.820172
0.326531,0.0110204,0.855143
0.346939,0.0110204,0.886599
0.367347,0.0110204,0.914413
0.387755,0.0110204,0.938468
0.408163,0.0110204,0.958668
0.428571,0.0110204,0.974928
0.44898,0.0110204,0.987182
0.469388,0.0110204,0.995379
0.489796,0.0110204,0.999486
0.510204,0.0110204,0.999486
0.530612,0.0110204,0.995379
0.55102,0.0110204,0.987182
0.571429,0.0110204,0.974928
0.591837,0.0110204,0.958668
0.612245,0.0110204,0.938468
0.632653,0.0110204,0.914413
0.653061,0.0110204,0.886599
0.673469,0.0110204,0.855143
0.693878,0.0110204,0.820172
0.714286,0.0110204,0.781831
0.734694,0.0110204,0.740278
0.755102,0.0110204,0.695683
0.77551,0.0110204,0.648228
0.795918,0.0110204,0.598111
0.816327,0.0110204,0.545535
0.836735,0.0110204,0.490718
0.857143,0.0110204,0.433884
0.877551,0.0110204,0.375267
0.897959,0.0110204,0.315108
0.918367,0.0110204,0.253655
0.938776,0.0110204,0.191159
0.959184,0.0110204,0.127877
0.979592,0.0110204,0.0640702
1,0.0110204,0
0,0.0122449,0
0.0204082,0.0122449,0.0640702
0.0408163,0.0122449,0.127877
0.0612245,0.0122449,0.191159
0.0816327,0.0122449,0.253655
0.102041,0.0122449,0.315108
0.122449,0.0122449,0.375267
0.142857,0.0122449,0.433884
0.163265,0.0122449,0.490718
0.183673,0.0122449,0.545535
0.204082,0.0122449,0.598111
0.22449,0.0122449,0.648228
0.244898,0.0122449,0.695683
0.265306,0.0122449,0.740278
0.285714,0.0122449,0.781831
0.306122,0.0122449,0.820172
0.326531,0.0122449,0.855143
0.346939,0.0122449,0.886599
0.367347,0.0122449,0.914413
0.387755,0.0122449,0.938468
0.408163,0.0122449,0.958668
0.428571,0.0122449,0.974928
0.44898,0.0122449,0.987182
0.469388,0.0122449,0.995379
0.489796,0.0122449,0.999486
0.510204,0.0122449,0.999486
0.530612,0.0122449,0.995379
0.55102,0.0122449,0.987182
0.571429,0.0122449,0.974928
0.591837,0.0122449,0.958668
0.612245,0.0122449,0.938468
0.632653,0.0122449,0.914413
0.653061,0.0122449,0.886599
0.673469,0.0122449,0.855143
0.693878,0.0122449,0.820172
0.714286,0.0122449,0.781831
0.734694,0.0122449,0.740278
0.755102,0.0122449,0.695683
0.77551,0.0122449,0.648228
0.795918,0.0122449,0.598111
0.816327,0.0122449,0.545535
0.836735,0.0122449,0.490718
0.857143,0.0122449,0.433884
0.877551,0.0122449,0.375267
0.897959,0.0122449,0.315108
0.918367,0.0122449,0.253655
0.938776,0.0122449,0.191159
0.959184,0.0122449,0.127877
0.979592,0.0122449,0.0640702
1,0.0122449,0
0,0.0134694,0
0.0204082,0.0134694,0.0640702
0.0408163,0.0134694,0.127877
0.0612245,0.0134694,0.191159
0.0816327,0.0134694,0.253655
0.102041,0.0134694,0.315108
0.122449,0.0134694,0.375267
0.142857,0.0134694,0.433884
0.163265,0.0134694,0.490718
0.183673,0.0134694,0.545535
0.204082,0.0134694,0.598111
0.22449,0.0134694,0.648228
0.244898,0.0134694,0.695683
0.265306,0.0134694,0.740278
0.285714,0.0134694,0.781831
0.306122,0.0134694,0.820172
0.326531,0.0134694,0.855143
0.346939,0.0134694,0.886599
0.367347,0.0134694,0.914413
0.387755,0.0134694,0.938468
0.408163,0.0134694,0.958668
0.428571,0.0134694,0.974928
0.44898,0.0134694,0.987182
0.469388,0.0134694,0.995379
0.489796,0.0134694,0.999486
0.510204,0.0134694,0.999486
0.530612,0.0134694,0.995379
0.55102,0.0134694,0.987182
0.571429,0.0134694,0.974928
0.591837,0.0134694,0.958668
0.612245,0.0134694,0.938468
0.632653,0.0134694,0.914413
0.653061,0.0134694,0.886599
0.673469,0.0134694,0.855143
0.693878,0.0134694,0.820172
0.714286,0.0134694,0.781831
0.734694,0.0134694,0.740278
0.755102,0.0134694,0.695683
0.77551,0.0134694,0.648228
0.795918,0.0134694,0.598111
0.816327,0.0134694,0.545535
0.836735,0.0134694,0.490718
0.857143,0.0134694,0.433884
0.877551,0.0134694,0.375267
0.897959,0.0134694,0.315108
0.918367,0.0134694,0.253655
0.938776,0.0134694,0.191159
0.959184,0.0134694,0.127877
0.979592,0.0134694,0.0640702
1,0.0134694,0
0,0.0146939,0
0.0204082,0.0146939,0.0640702
0.0408163,0.0146939,0.127877
0.0612245,0.0146939,0.191159
0.0816327,0.0146939,0.253655
0.102041,0.0146939,0.315108
0.122449,0.0146939,0.375267
0.142857,0.0146939,0.433884
0.163265,0.0146939,0.490718
0.183673,0.0146939,0.545535
0.204082,0.0146939,0.598111
0.22449,0.0146939,0.648228
0.244898,0.0146939,0.695683
0.265306,0.0146939,0.740278
0.285714,0.0146939,0.781831
0.306122,0.0146939,0.820172
0.326531,0.0146939,0.855143
0.346939,0.0146939,0.886599
0.367347,0.0146939,0.914413
0.387755,0.0146939,0.938468
0.408163,0.0146939,0.958668
0.428571,0.0146939,0.974928
0.44898,0.0146939,0.987182
0.469388,0.0146939,0.995379
0.489796,0.0146939,0.999486
0.510204,0.0146939,0.999486
0.530612,0.0146939,0.995379
0.55102,0.0146939,0.987182
0.571429,0.0146939,0.974928
0.591837,0.0146939,0.958668
0.612245,0.0146939,0.938468
0.632653,0.0146939,0.914413
0.653061,0.0146939,0.886599
0.673469,0.0146939,0.855143
0.693878,0.0146939,0.820172
0.714286,0.0146939,0.781831
0.734694,0.0146939,0.740278
0.755102,0.0146939,0.695683
0.77551,0.0146939,0.648228
0.795918,0.0146939,0.598111
0.816327,0.0146939,0.545535
0.836735,0.0146939,0.490718
0.857143,0.0146939,0.433884
0.877551,0.0146939,0.375267
0.897959,0.0146939,0.315108
0.918367,0.0146939,0.253655
0.938776,0.0146939,0.191159
0.959184,0.0146939,0.127877
0.979592,0.0146939,0.0640702
1,0.0146939,0
0,0.0159184,0
0.0204082,0.0159184,0.0640702
0.0408163,0.0159184,0.127877
0.0612245,0.0159184,0.191159
0.0816327,0.0159184,0.253655
0.102041,0.0159184,0.315108
0.122449,0.0159184,0.375267
0.142857,0.0159184,0.433884
0.163265,0.0159184,0.490718
0.183673,0.0159184,0.545535
0.204082,0.0159184,0.598111
0.22449,0.0159184,0.648228
0.244898,0.0159184,0.695683
0.265306,0.0159184,0.740278
0.285714,0.0159184,0.781831
0.306122,0.0159184,0.820172
0.326531,0.0159184,0.855143
0.346939,0.0159184,0.886599
0.367347,0.0159184,0.914413
0.387755,0.0159184,0.938468
0.408163,0.0159184,0.958668
0.428571,0.0159184,0.974928
0.44898,0.0159184,0.987182
0.469388,0.0159184,0.995379
0.489796,0.0159184,0.999486
0.510204,0.0159184,0.999486
0.530612,0.0159184,0.995379
0.55102,0.0159184,0.987182
0.571429,0.0159184,0.974928
0.591837,0.0159184,0.958668
0.612245,0.0159184,0.938468
0.632653,0.0159184,0.914413
0.653061,0.0159184,0.886599
0.673469,0.0159184,0.855143
0.693878,0.0159184,0.820172
0.714286,0.0159184,0.781831
0.734694,0.0159184,0.740278
0.755102,0.0159184,0.695683
0.77551,0.0159184,0.648228
0.795918,0.0159184,0.598111
0.816327,0.0159184,0.545535
0.836735,0.0159184,0.490718
0.857143,0.0159184,0.433884
0.877551,0.0159184,0.375267
0.897959,0.0159184,0.315108
0.918367,0.0159184,0.253655
0.938776,0.0159184,0.191159
0.959184,0.0159184,0.127877
0.979592,0.0159184,0.0640702
1,0.0159184,0
0,0.0171429,0
0.0204082,0.0171429,0.0640702
0.0408163,0.0171429,0.127877
0.0612245,0.0171429,0.191159
0.0816327,0.0171429,0.253655
0.102041,0.0171429,0.315108
0.122449,0.0171429,0.375267
0.142857,0.0171429,0.433884
0.163265,0.0171429,0.490718
0.183673,0.0171429,0.545535
0.204082,0.0171429,0.598111
0.22449,0.0171429,0.648228
0.244898,0.0171429,0.695683
0.265306,0.0171429,0.740278
0.285714,0.0171429,0.781831
0.306122,0.0171429,0.820172
0.326531,0.0171429,0.855143
0.346939,0.0171429,0.886599
0.367347,0.0171429,0.914413
0.387755,0.0171429,0.938468
0.408163,0.0171429,0.958668
0.428571,0.0171429,0.974928
0.44898,0.0171429,0.987182
0.469388,0.0171429,0.995379
0.489796,0.0171429,0.999486
0.510204,0.0171429,0.999486
0.530612,0.0171429,0.995379
0.55102,0.0171429,0.987182
0.571429,0.0171429,0.974928
0.591837,0.0171429,0.958668
0.612245,0.0171429,0.938468
0.632653,0.0171429,0.914413
0.653061,0.0171429,0.886599
0.673469,0.0171429,0.855143
0.693878,0.0171429,0.820172
0.714286,0.0171429,0.781831
0.734694,0.0171429,0.740278
0.755102,0.0171429,0.695683
0.77551,0.0171429,0.648228
0.795918,0.0171429,0.598111
0.816327,0.0171429,0.545535
0.836735,0.0171429,0.490718
0.857143,0.0171429,0.433884
0.877551,0.0171429,0.375267
0.897959,0.0171429,0.315108
0.918367,0.0171429,0.253655
0.938776,0.0171429,0.191159
0.959184,0.0171429,0.127877
0.979592,0.0171429,0.0640702
1,0.0171429,0
0,0.0183673,0
0.0204082,0.0183673,0.0640702
0.0408163,0.0183673,0.127877
0.0612245,0.0183673,0.191159
0.0816327,0.0183673,0.253655
0.102041,0.0183673,0.315108
0.122449,0.0183673,0.375267
0.142857,0.0183673,0.433884
0.163265,0.0183673,0.490718
0.183673,0.0183673,0.545535
0.204082,0.0183673,0.598111
0.22449,0.0183673,0.648228
0.244898,0.0183673,0.695683
0.265306,0.0183673,0.740278
0.285714,0.0183673,0.781831
0.306122,0.0183673,0.820172
0.326531,0.0183673,0.855143
0.346939,0.0183673,0.886599
0.367347,0.0183673,0.914413
0.387755,0.0183673,0.938468
0.408163,0.0183673,0.958668
0.428571,0.0183673,0.974928
0.44898,0.0183673,0.987182
0.469388,0.0183673,0.995379
0.489796,0.0183673,0.999486
0.510204,0.0183673,0.999486
0.530612,0.0183673,0.995379
0.55102,0.0183673,0.987182
0.571429,0.0183673,0.974928
0.591837,0.0183673,0.958668
0.612245,0.0183673,0.938468
0.632653,0.0183673,0.914413
0.653061,0.0183673,0.886599
0.673469,0.0183673,0.855143
0.693878,0.0183673,0.820172
0.714286,0.0183673,0.781831
0.734694,0.0183673,0.740278
0.755102,0.0183673,0.695683
0.77551,0.0183673,0.648228
0.795918,0.0183673,0.598111
0.816327,0.0183673,0.545535
0.836735,0.0183673,0.490718
0.857143,0.0183673,0.433884
0.877551,0.0183673,0.375267
0.897959,0.0183673,0.315108
0.918367,0.0183673,0.253655
0.938776,0.0183673,0.191159
0.959184,0.0183673,0.127877
0.979592,0.0183673,0.0640702
1,0.0183673,0
0,0.0195918,0
0.0204082,0.0195918,0.0640702
0.0408163,0.0195918,0.127877
0.0612245,0.0195918,0.191159
0.0816327,0.0195918,0.253655
0.102041,0.0195918,0.315108
0.122449,0.0195918,0.375267
0.142857,0.0195918,0.433884
0.163265,0.0195918,0.490718
0.183673,0.0195918,0.545535
0.204082,0.0195918,0.598111
0.22449,0.0195918,0.648228
0.244898,0.0195918,0.695683
0.265306,0.0195918,0.740278
0.285714,0.0195918,0.781831
0.306122,0.0195918,0.820172
0.326531,0.0195918,0.855143
0.346939,0.0195918,0.886599
0.367347,0.0195918,0.914413
0.387755,0.0195918,0.938468
0.408163,0.0195918,0.958668
0.428571,0.0195918,0.974928
0.44898,0.0195918,0.987182
0.469388,0.0195918,0.995379
0.489796,0.0195918,0.999486
0.510204,0.0195918,0.999486
0.530612,0.0195918,0.995379
0.55102,0.0195918,0.987182
0.571429,0.0195918,0.974928
0.591837,0.0195918,0.958668
0.612245,0.0195918,0.938468
0.632653,0.0195918,0.914413
0.653061,0.0195918,0.886599
0.673469,0.0195918,0.855143
0.693878,0.0195918,0.820172
0.714286,0.0195918,0.781831
0.734694,0.0195918,0.740278
0.755102,0.0195918,0.695683
0.77551,0.0195918,0.648228
0.795918,0.0195918,0.598111
0.816327,0.0195918,0.545535
0.836735,0.0195918,0.490718
0.857143,0.0195918,0.433884
0.877551,0.0195918,0.375267
0.897959,0.0195918,0.315108
0.918367,0.0195918,0.253655
0.938776,0.0195918,0.191159
0.959184,0.0195918,0.127877
0.979592,0.0195918,0.0640702
1,0.0195918,0
0,0.0208163,0
0.0204082,0.0208163,0.0640702
0.0408163,0.0208163,0.127877
0.0612245,0.0208163,0.191159
0.0816327,0.0208163,0.253655
0.102041,0.0208163,0.315108
0.122449,0.0208163,0.375267
0.142857,0.0208163,0.433884
0.163265,0.0208163,0.490718
0.183673,0.0208163,0.545535
0.204082,0.0208163,0.598111
0.22449,0.0208163,0.648228
0.244898,0.0208163,0.695683
0.265306,0.0208163,0.740278
0.285714,0.0208163,0.781831
0.306122,0.0208163,0.820172
0.326531,0.0208163,0.855143
0.346939,0.0208163,0.886599
0.367347,0.0208163,0.914413
0.387755,0.0208163,0.938468
0.408163,0.0208163,0.958668
0.428571,0.0208163,0.974928
0.44898,0.0208163,0.987182
0.469388,0.0208163,0.995379
0.489796,0.0208163,0.999486
0.510204,0.0208163,0.999486
0.530612,0.0208163,0.995379
0.55102,0.0208163,0.987182
0.571429,0.0208163,0.974928
0.591837,0.0208163,0.958668
0.612245,0.0208163,0.938468
0.632653,0.0208163,0.914413
0.653061,0.0208163,0.886599
0.673469,0.0208163,0.855143
0.693878,0.0208163,0.820172
0.714286,0.0208163,0.781831
0.734694,0.0208163,0.740278
0.755102,0.0208163,0.695683
0.77551,0.0208163,0.648228
0.795918,0.0208163,0.598111
0.816327,0.0208163,0.545535
0.836735,0.0208163,0.490718
