xValues,tValues,Solution
1.10204,0.163265,2.01235
1.14286,0.163265,2.13776
1.18367,0.163265,2.26839
1.22449,0.163265,2.40447
1.26531,0.163265,2.54622
1.30612,0.163265,2.69387
1.34694,0.163265,2.84768
1.38776,0.163265,3.00789
1.42857,0.163265,3.17478
1.46939,0.163265,3.34862
1.5102,0.163265,3.5297
1.55102,0.163265,3.71832
1.59184,0.163265,3.91481
1.63265,0.163265,4.11948
1.67347,0.163265,4.33267
1.71429,0.163265,4.55475
1.7551,0.163265,4.78608
1.79592,0.163265,5.02705
1.83673,0.163265,5.27806
1.87755,0.163265,5.53952
1.91837,0.163265,5.81188
1.95918,0.163265,6.09558
2,0.163265,6.48422
0,0.204082,0
0.0408163,0.204082,0.0437021
0.0816327,0.204082,0.0870985
0.122449,0.204082,0.132303
0.163265,0.204082,0.17939
0.204082,0.204082,0.22844
0.244898,0.204082,0.279532
0.285714,0.204082,0.332754
0.326531,0.204082,0.388192
0.367347,0.204082,0.44594
0.408163,0.204082,0.506094
0.44898,0.204082,0.568754
0.489796,0.204082,0.634025
0.530612,0.204082,0.702014
0.571429,0.204082,0.772837
0.612245,0.204082,0.846609
0.653061,0.204082,0.923455
0.693878,0.204082,1.0035
0.734694,0.204082,1.08689
0.77551,0.204082,1.17374
0.816327,0.204082,1.26422
0.857143,0.204082,1.35846
0.897959,0.204082,1.45663
0.938776,0.204082,1.55889
0.979592,0.204082,1.66541
1.02041,0.204082,1.77637
1.06122,0.204082,1.89195
1.10204,0.204082,2.01235
1.14286,0.204082,2.13776
1.18367,0.204082,2.26839
1.22449,0.204082,2.40447
1.26531,0.204082,2.54622
1.30612,0.204082,2.69387
1.34694,0.204082,2.84768
1.38776,0.204082,3.00789
1.42857,0.204082,3.17478
1.46939,0.204082,3.34862
1.5102,0.204082,3.5297
1.55102,0.204082,3.71832
1.59184,0.204082,3.91481
1.63265,0.204082,4.11948
1.67347,0.204082,4.33267
1.71429,0.204082,4.55475
1.7551,0.204082,4.78608
1.79592,0.204082,5.02705
1.83673,0.204082,5.27806
1.87755,0.204082,5.53952
